cid,list_id,company,position,office,office_state,job_type
c174,vault_100,McKinsey & Company,Data Scientist,Chicago,IL,data_science
c175,nasdaq_MDSO,Medidata Solutions,Sr Business Analyst - Clinical Research,New York,NY,stats
c176,glassdoor_115,Memorial Sloan Kettering,Assistant Research Biostatistician - Epidemiology and Biostatistics,New York,NY,stats
c177,f1000_68,Merck,Non-clinical Senior Statistician,West Point,PA,stats
c178,f1000_41,MetLife,Data Scientist,Cary,NC,stats
c179,f1000_27,Microsoft,Researcher,Redmond,WA,stats
c180,f1000_108,Mondelez,Senior Scientist I - Data Science,East Hanover,NJ,stats
c181,nasdaq_MDB,MongoDB,UX Researcher,New York,NY,stats
c182,f1000_203,Monsanto,Data Scientist,St. Louis,MO,stats
c183,f1000_630,Moody's,Data Scientist,San Francisco,CA,stats
c184,f1000_75,Morgan Stanley,Data Scientist,New York,NY,stats
c185,vault_23,Morrison & Foerster,Corporate Associate Attorney,Washington,DC,consultant
c186,f1000_432,Motorola Solutions,Data Scientist - Natural Language Processing,Chicago,IL,stats
c187,f1000_67,Nationwide,Research Assistant - RI Gene Therapy,Columbus,OH,stats
c188,glassdoor_78,Navy Federal Credit Union,Member Research Strategist II,Vienna,VA,stats
c189,f1000_313,Netflix,Senior Data Scientist,Los Gatos,CA,stats
c190,glassdoor_113,NewYork-Presbyterian Hospital,Program Director Research Science Value Institute,Manhattan,NY,stats
c191,f1000_207,Newell Brands,Data Scientist,Atlanta,GA,stats
c192,f1000_169,NextEra Energy,Data Scientist,Juno Beach,FL,stats
c193,f1000_87,Nike,Lead Data Scientist,Beaverton,OR,stats
c194,nasdaq_NOK,Nokia,Data Scientist - NSW,Pembroke Pines,FL,stats
c195,f1000_187,Nordstrom,Data Scientist - Supply Chain,Seattle,WA,stats
c196,f1000_283,Norfolk Southern,Operations Research Trainee,Atlanta,GA,stats
c197,f1000_113,Northrop Grumman,Operations Research Analyst,Scott AFB,IL,stats
c198,f1000_386,Nvidia,Sr Data Scientist,Santa Clara,CA,stats
c199,f1000_277,Occidental Petroleum,Sr Scientist,Wichita,KS,stats
c200,vault_104,Oliver Wyman,Data Engineer,New York,NY,data_science
c201,nasdaq_OMCL,Omnicell,Senior Data Scientist,Mountain View,CA,stats
c202,f1000_601,OneMain,Lead Quantitative Analyst,Evansville,IN,stats
c203,f1000_80,Oracle,Senior Data Scientist,New York,NY,stats
c204,f1000_165,PNC Financial Services,Data Scientist,Pittsburgh,PA,stats
c205,f1000_364,PPL,Senior Data Scientist/Lead Data Scientist,Washington,DC,stats
c206,f1000_163,Paccar,Lead Data Scientist,Renton,WA,stats
c207,nasdaq_PANW,Palo Alto Networks,Sr Data Scientist,Santa Clara,CA,stats
c208,f1000_263,PayPal,Real Estate Analyst,Scottsdale,AZ,stats
c209,vault_84,Pepper Hamilton,Health Sciences Department M&A Associate,Philadelphia,NY,consultant
c210,f1000_43,PepsiCo,R&D Senior Data Scientist,Barrington,IL,stats
c211,vault_49,Perkins Coie,Patent Litigation Associate Attorney - Junior,Denver,CO,consultant
